,Application,Category Tags,Color B,Color Code,Color G,Color R,Company,Model Name,Model Number,Origin Country,Product URL,Type,Filename
91,Wall,,214.0,#F5E5D6,229.0,245.0,Nippon,Berry Essence,NP OW 2191 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2191-p/berry-essence,Paint,NP OW 2191 P.png
92,Wall,,216.0,#EEE3D8,227.0,238.0,Nippon,Angelic Pink,NP OW 1029 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-1029-p/angelic-pink,Paint,NP OW 1029 P.png
93,Wall,,219.0,#F3E5DB,229.0,243.0,Nippon,Sugar Pink,NP OW 1033 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-1033-p/sugar-pink,Paint,NP OW 1033 P.png
94,Wall,,222.0,#F5E7DE,231.0,245.0,Nippon,Pink Cloud,NP OW 1037 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-1037-p/pink-cloud,Paint,NP OW 1037 P.png
95,Wall,,225.0,#F1E7E1,231.0,241.0,Nippon,Puppy Love,NP OW 2192 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2192-p/puppy-love,Paint,NP OW 2192 P.png
96,Wall,,218.0,#F4E9DA,233.0,244.0,Nippon,Ivory Stone,NP OW 2193 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-2193-p/ivory-stone,Paint,NP OW 2193 P.png
97,Wall,,212.0,#F4E6D4,230.0,244.0,Nippon,Timid Pink,NP OW 1026 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-1026-p/timid-pink,Paint,NP OW 1026 P.png
98,Wall,,,,,,Nippon,Peach Pinch,,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-1022-p/peach-pinch,Paint,nan.png
99,Wall,,214.0,#F2E5D6,229.0,242.0,Nippon,Bare Toes,NP OW 1025 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-1025-p/bare-toes,Paint,NP OW 1025 P.png
100,Wall,,210.0,#F2E3D2,227.0,242.0,Nippon,Bare Blush,NP OW 1023 P,None,https://nipponpaint.com.sg/colours/find-your-colour/np-ow-1023-p/bare-blush,Paint,NP OW 1023 P.png
