,Application,Category Tags,Company,Filename,Height (cm),Model Name,Origin Country,Product URL,Type,Width (cm)
56,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,p-a-smoke-ret_r-500-500-60-user-data-collections-4001-21917-1713349517.jpg,600,P.A Smoke Ret,Italy,https://www.hafary.com.sg/collection/Tiles/Ceramiche-CCV-Castelvetro-P.A-Smoke-Ret-4001?image=21917,Tiles,600
57,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,p-a-white-ret_r-500-500-60-user-data-collections-4001-21918-1713349518.jpg,600,P.A White Ret,Italy,https://www.hafary.com.sg/collection/Tiles/Ceramiche-CCV-Castelvetro-P.A-White-Ret-4001?image=21918,Tiles,600
58,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,p-a-white-ret_r-500-500-60-user-data-collections-4001-21919-1713349518.jpg,600,P.A White Ret,Italy,https://www.hafary.com.sg/collection/Tiles/Ceramiche-CCV-Castelvetro-P.A-White-Ret-4001?image=21919,Tiles,600
59,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,sta-grey-ret_r-500-500-60-user-data-collections-4000-21910-1713284371.jpg,300,Sta.Grey Ret,Italy,https://www.hafary.com.sg/collection/Tiles/Marca-Corona-Sta.Grey-Ret-4000?image=21910,Tiles,600
60,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,sta-silver-ret_r-500-500-60-user-data-collections-4000-21911-1713284372.jpg,300,Sta.Silver Ret,Italy,https://www.hafary.com.sg/collection/Tiles/Marca-Corona-Sta.Silver-Ret-4000?image=21911,Tiles,600
61,"Floor, Wall","Glazed Porcelain Tile, Shade and Veins Variation",Hafary,sy-snow-ret_r-500-500-60-user-data-collections-3999-21908-1713283132.jpg,600,SY Snow Ret,Italy,https://www.hafary.com.sg/collection/Tiles/EdimaxAstor-SY-Snow-Ret-3999?image=21908,Tiles,1200
62,"Floor, Wall","Glazed Porcelain Tile, Shade and Veins Variation",Hafary,sy-snow-ret_r-500-500-60-user-data-collections-3999-21909-1713283132.jpg,600,SY Snow Ret,Italy,https://www.hafary.com.sg/collection/Tiles/EdimaxAstor-SY-Snow-Ret-3999?image=21909,Tiles,1200
63,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation",Hafary,golden-age-grey-ret_r-500-500-60-user-data-collections-3998-21905-1713282423.jpg,600,Golden Age Grey Ret,Italy,https://www.hafary.com.sg/collection/Tiles/EdimaxAstor-Golden-Age-Grey-Ret-3998?image=21905,Tiles,1200
64,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation",Hafary,golden-age-grey-ret_r-500-500-60-user-data-collections-3998-21906-1713282424.jpg,600,Golden Age Grey Ret,Italy,https://www.hafary.com.sg/collection/Tiles/EdimaxAstor-Golden-Age-Grey-Ret-3998?image=21906,Tiles,1200
65,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation",Hafary,golden-age-grey-circ-ret_r-500-500-60-user-data-collections-3998-21907-1713282437.jpg,600,Golden Age Grey Circ Ret,Italy,https://www.hafary.com.sg/collection/Tiles/EdimaxAstor-Golden-Age-Grey-Circ-Ret-3998?image=21907,Tiles,1200
66,"Floor, Wall","Glazed Porcelain Tile, Shade, Veins and Pattern Variation",Hafary,silvers-ivory-mix-str-ret_r-500-500-60-user-data-collections-3997-21898-1713177751.jpg,150,Silvers Ivory Mix Str Ret,Italy,https://www.hafary.com.sg/collection/Tiles/Coem-Ceramiche-Silvers-Ivory-Mix-Str-Ret-3997?image=21898,Tiles,600
67,Wall,"Ceramic Tile, Shade Variation",Hafary,spark-white-matt_r-500-500-60-user-data-collections-3996-21895-1713174448.jpg,130,Spark White Matt,Spain,https://www.hafary.com.sg/collection/Tiles/Tendencias-Ceramicas-Spark-White-Matt-3996?image=21895,Tiles,130
68,Wall,"Ceramic Tile, Shade Variation",Hafary,spark-white-matt_r-500-500-60-user-data-collections-3996-21896-1713174450.jpg,130,Spark White Matt,Spain,https://www.hafary.com.sg/collection/Tiles/Tendencias-Ceramicas-Spark-White-Matt-3996?image=21896,Tiles,130
69,Wall,"Ceramic Tile, Shade Variation",Hafary,spark-white-matt_r-500-500-60-user-data-collections-3996-21897-1713174461.jpg,130,Spark White Matt,Spain,https://www.hafary.com.sg/collection/Tiles/Tendencias-Ceramicas-Spark-White-Matt-3996?image=21897,Tiles,130
70,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V4)",Hafary,melt-pewter-ret_r-500-500-60-user-data-collections-3995-21889-1713169646.jpg,200,Melt Pewter Ret,Italy,https://www.hafary.com.sg/collection/Tiles/EdimaxAstor-Melt-Pewter-Ret-3995?image=21889,Tiles,1210
71,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V4)",Hafary,melt-pewter-ret_r-500-500-60-user-data-collections-3995-21890-1713169647.jpg,200,Melt Pewter Ret,Italy,https://www.hafary.com.sg/collection/Tiles/EdimaxAstor-Melt-Pewter-Ret-3995?image=21890,Tiles,1210
72,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V4)",Hafary,melt-pewter-ret_r-500-500-60-user-data-collections-3995-21891-1713169647.jpg,200,Melt Pewter Ret,Italy,https://www.hafary.com.sg/collection/Tiles/EdimaxAstor-Melt-Pewter-Ret-3995?image=21891,Tiles,1210
73,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V4)",Hafary,melt-pewter-rett_r-500-500-60-user-data-collections-3995-21892-1713169692.jpg,200,Melt Pewter Rett,Italy,https://www.hafary.com.sg/collection/Tiles/EdimaxAstor-Melt-Pewter-Rett-3995?image=21892,Tiles,1210
74,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V4)",Hafary,melt-pewter-rett_r-500-500-60-user-data-collections-3995-21893-1713169694.jpg,200,Melt Pewter Rett,Italy,https://www.hafary.com.sg/collection/Tiles/EdimaxAstor-Melt-Pewter-Rett-3995?image=21893,Tiles,1210
75,"Wall, Floor","Glazed Porcelain Tile, Shade and Veins Variation (V4)",Hafary,melt-pewter-dec-ret_r-500-500-60-user-data-collections-3995-21894-1713169704.jpg,200,Melt Pewter Dec Ret,Italy,https://www.hafary.com.sg/collection/Tiles/EdimaxAstor-Melt-Pewter-Dec-Ret-3995?image=21894,Tiles,1210
76,"Floor, Wall","Glazed Porcelain Tile, Shade and Veins Variation",Hafary,ap06_r-500-500-60-user-data-collections-3994-21863-1712565086.jpg,600,AP06,China,https://www.hafary.com.sg/collection/Tiles/Viewgres-AP06-3994?image=21863,Tiles,1200
77,"Floor, Wall","Glazed Porcelain Tile, Shade and Veins Variation",Hafary,pim6001p_r-500-500-60-user-data-collections-3950-21726-1712036366.jpg,600,PIM6001P,Malaysia,https://www.hafary.com.sg/collection/Tiles/Domogres-PIM6001P-3950?image=21726,Tiles,600
78,"Floor, Wall","Glazed Porcelain Tile, Shade and Veins Variation",Hafary,pim6004p_r-500-500-60-user-data-collections-3950-21727-1712036367.jpg,600,PIM6004P,Malaysia,https://www.hafary.com.sg/collection/Tiles/Domogres-PIM6004P-3950?image=21727,Tiles,600
79,"Floor, Wall","Glazed Porcelain Tile, Shade and Veins Variation",Hafary,pim6001p_r-500-500-60-user-data-collections-3950-21728-1712036384.jpg,600,PIM6001P,Malaysia,https://www.hafary.com.sg/collection/Tiles/Domogres-PIM6001P-3950?image=21728,Tiles,600
80,"Floor, Wall","Glazed Porcelain Tile, Shade and Veins Variation",Hafary,pim6002p_r-500-500-60-user-data-collections-3950-21729-1712036385.jpg,600,PIM6002P,Malaysia,https://www.hafary.com.sg/collection/Tiles/Domogres-PIM6002P-3950?image=21729,Tiles,600
81,"Floor, Wall","Glazed Porcelain Tile, Shade and Veins Variation",Hafary,pim6003p_r-500-500-60-user-data-collections-3950-21730-1712036386.jpg,600,PIM6003P,Malaysia,https://www.hafary.com.sg/collection/Tiles/Domogres-PIM6003P-3950?image=21730,Tiles,600
82,"Floor, Wall","Glazed Porcelain Tile, Shade and Veins Variation",Hafary,pim6004p_r-500-500-60-user-data-collections-3950-21731-1712036387.jpg,600,PIM6004P,Malaysia,https://www.hafary.com.sg/collection/Tiles/Domogres-PIM6004P-3950?image=21731,Tiles,600
83,"Floor, Wall","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,pxlin1_r-500-500-60-user-data-collections-3949-21707-1712027720.jpg,600,PXLIN1,Malaysia,https://www.hafary.com.sg/collection/Tiles/MML-PXLIN1-3949?image=21707,Tiles,1200
84,"Floor, Wall","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,pxlin1_r-500-500-60-user-data-collections-3949-21708-1712027721.jpg,600,PXLIN1,Malaysia,https://www.hafary.com.sg/collection/Tiles/MML-PXLIN1-3949?image=21708,Tiles,1200
85,"Floor, Wall","Glazed Porcelain Tile, Shade and Veins Variation (V2)",Hafary,pxlin1_r-500-500-60-user-data-collections-3949-21709-1712028032.jpg,600,PXLIN1,Malaysia,https://www.hafary.com.sg/collection/Tiles/MML-PXLIN1-3949?image=21709,Tiles,1200
