Name,Color 1,Color 2,Color 3,Color 4
School of Fish,#CDD3D0,#87B1B0,#386E90,#344A70
Gentle Petals,#FDF2ED,#F7C9B6,#F1A17E,#A53E12
Warm and Melted,#E36920,#EFA710,#E8D4C0,#DCAD90
Meeting the Sun,#F09360,#F62280,#FB8FC0,#F9BF50
Electric Neon Plate,#738A76,#65FC6A,#FF0BAC,#E4F995
Crimson and Blues,#FF2768,#A3A3B7,#1B4A56,#F2EEF7
Caught by Summer,#3B2244,#A06AB4,#E845AE,#EBA408
Hint of Rose,#8F4553,#F4F3F1,#E6E5E3,#E2ACB9
Party Time Sprinkles,#64D5DD,#57A5B8,#F68181,#A94A5F
Sky Reflections,#BAD3E4,#1E77BD,#10564F,#04345C
Snowed In,#ECF1F2,#53565A,#F4D800,#050707
Evening Calm,#001F3D,#151983,#1863D6,#B6CBE1
Party for One,#FEFAE5,#D4C5B6,#C4CEC5,#6E726E
Neutral Seaside Wedding,#686A4E,#CFCDC2,#977557,#757573
Wear Your Confidence,#1B2E3C,#0C0C1E,#4D0011,#F3E3E2
Vandal Pigment,#256C70,#BF0D70,#F054B0,#E0E9D0
Classic Gentleman,#325980,#D4C2B0,#202E50,#777180
